userid,condition,latency,foundFastTargetFirst,search_strategy
01936056-0e7c-11e7-980e-d4ae5273e5cf,Experiment1,14000,FALSE,structured_search
0bb401cc-0e1c-11e7-b7fa-d4ae5273e5cf,Experiment1,14000,FALSE,structured_search
11e8dc18-0e38-11e7-b815-d4ae5273e5cf,Experiment1,7000,TRUE,structured_search
15025e80-0ea4-11e7-9815-d4ae5273e5cf,Experiment1,10000,FALSE,opportunistic_random
15f1d020-0ec5-11e7-b7fa-d4ae5273e5cf,Experiment1,0,TRUE,strategy_switch
176b23b6-0ec5-11e7-95da-d4ae5273e5cf,Experiment1,10000,FALSE,opportunistic_random
1a3c4560-0e9e-11e7-b7fa-d4ae5273e5cf,Experiment1,2500,FALSE,strategy_switch
1e048ce0-0e06-11e7-b815-d4ae5273e5cf,Experiment1,2500,FALSE,structured_search
209c78fa-0e24-11e7-980e-d4ae5273e5cf,Experiment1,7000,FALSE,strategy_switch
2421432c-0ed1-11e7-b74f-d4ae5273e5cf,Experiment1,0,TRUE,strategy_switch
248700fc-0dca-11e7-980e-d4ae5273e5cf,Experiment1,0,FALSE,strategy_switch
25fd06a6-0ec5-11e7-b815-d4ae5273e5cf,Experiment1,7000,TRUE,strategy_switch
2722ecec-0dd2-11e7-b7fa-d4ae5273e5cf,Experiment1,10000,TRUE,structured_search
27a63aae-0ed4-11e7-b74f-d4ae5273e5cf,Experiment1,14000,TRUE,strategy_switch
2a2b48e6-0ec5-11e7-8a85-d4ae5273e5cf,Experiment1,14000,TRUE,opportunistic_random
359f7e5c-0e9a-11e7-95da-d4ae5273e5cf,Experiment1,10000,TRUE,structured_search
3634af32-0ec6-11e7-980e-d4ae5273e5cf,Experiment1,0,TRUE,strategy_switch
363c7774-0e7d-11e7-b815-d4ae5273e5cf,Experiment1,7000,FALSE,strategy_switch
36d2239c-0ed1-11e7-b74f-d4ae5273e5cf,Experiment1,2500,FALSE,strategy_switch
3bd38bf6-0e13-11e7-8a85-d4ae5273e5cf,Experiment1,0,TRUE,direct
